Topic ID,Argument ID,Discussion ID,Premise,Relevance,Is Argument?,Rhetorical Quality,Logical Quality,Dialectical Quality,Text Length,Stance,Combined Quality
10,4,15859,"My opponent is using a huge logical fallacy; he is claiming that because medical marijuana doesn't have medical purposes for all medical conditions that the medical conditions it does have medical purposes for do not count. The fact remains that medical marijuana has several medical purposes such as alleviating neurpathic pain. A ban on medical marijuana would result in the ban of a medicine that works better than any other medicines, resulting in worse health out comes and a worse off health care system. My opponents post is also lying the source i posted studied the addictive potential of some medical marijuana the studies found that certain medical marijuana extracts do not result in addictive properties or addictive behavior. medical marijuana is different then regular marijuana because in medical marijuana they take out the harmful and addictive chemicals and only use the chemicals that have medical purposes. this means that every time my opponent links to marijuana having unhealthy effects he is comparing apples and oranges, and therefore his comparisons are invalid. For example a scientific study found that medial marijuana improved the mental abilities of people with Alzheimers. So basically a ban on medical marijuana would be an example of the government telling doctors how to treat patients. it would also be an example of the government telling millions of sick people that they cannot legally consume medicines that improve their medical condition.",0.8044698538620362,True,1.5350723788957257,0.9522679044804018,0.8817999064814852,234,True,1.2959366627272988
10,6,33373,"Although marijuana has been proven as a alternative to treating cancer, it is still a dangerous drug. There are other medical options that have the same effect on cancer patients without being as dangerous. Different medicines can diminish pain and cause relief without having as dangerous side effects.",0.4916888247220394,True,0.07204084612671377,-0.8011509062538279,-0.6273803420316391,48,False,-0.5254410916546814
15,6,1349,"Not ALL commercials are inappropriate, and I cannot understand why you insist they are. In addition, the production costs more and is of higher quality, because why would the companies air commercials for millions of dollars when it isnt worth it? (e.i. poor quality...) The only logical way to advertise during the Superbowl is to make commercials that are of great quality, and that catch the eye of the viewers. You misunderstood my first argument. I was not only implying they are inappropriate, but they lack in variety. This has gone untouched. Since they all focus on one SPECIFIC group, they lack in variety. This is bad. But what you did try to attack was the inappropriateness of the commercials. Your only response is that ""not ALL commercials are inappropriate."" Honestly, the majority of them are inappropriate. Thus, they are bad. And finally, the value of the commercial. I understand what you saying, but you are confusing what is wanted to what is actually done. Here is my logic...again...with numbers this time for clarity. Commercial has a budget of $15,000. Normal commercial cost $2,000 to air. Normal commercial allows $13,000 for production. Super Bowl commercial cost $7,000. Super Bowl commercial allows $8,000 for production. Companies obviously WANT to make super bowl commercials of the highest quality, but they can't afford it. So super bowl commercials lack variety are inappropriate lack high quality",-2.010559408397932,True,-0.6835631290642503,1.4370875651595671,-0.2469087088667672,232,False,0.23319378276549402
8,14,11861,"It is possible to keep a balance between international travel facilitation and security maintenance by introducing electronic means of customs control. Reinforced cockpit doors, sky marshals, bomb-detection machines, and information technology such as positive bag matching systems are steps in the right direction, as history proves. In September 1970 the hijack of El Al flight 217, a Boeing 707 flying from Amsterdam to New York, failed: the aircraft had a re-enforced cockpit door, and armed sky marshals on board were able to thwart the terrorists. More recently in September 2002 an attempted hijack of a Saudi airliner flying from Sudan was similarly prevented by armed security officers on board.",-0.4466542626979497,True,1.208934913161709,0.01940059575409044,-0.006187788351822417,109,True,0.47994863682286953
13,3,24960,Good for him. Now before you pontificate on absolutely everyone needing a gun consider the fact that most of us aren't anywhere near a bar at 2AM. And I'd bet you this particular bar was in some armpit kind of place. Am I right? Where was it?,-4.0,False,-4.0,-4.0,-4.0,47,True,-4.0
9,17,40213,"i think this because, many teenagers and kids have social networking sites, such as facebook .. etc. and if social networking was apart of the curriculum then teachers could teach students how to use these sites in a safe and harmless way. The truth of the matter is more teens use these social networking sites than adults themselves, and if teachers were able to help the students, teach them how to use the sites in appropriate and safe ways, it'll make a difference. A lot of people miss-use social networking sites in bad ways, either discrimination, or degrading, so if teachers were able to teach and protect their students from these things by teaching it to them and adding it in the curriculum, they could change how teens use the internet in a positive way. Also i feel that, teenagers would like to learn more about social sites, and they would like to know how to use it the right way, so if they were taught at school, this would be a positive thing to do. In conclusion, if social networking was added to the curriculum it would be a positive thing to do!",-0.4466542626979497,True,0.5207682988502824,-0.01742075671415335,0.7381037038929671,194,True,0.47513739589461
9,4,6310,"Resolved: That, on balance, social networking Web sites have a positive impact on the United States. Today, I am against the resolution, Resolved: That, on balance, social networking Web sites have a positive impact on the United States. Social networking sites have had a negative impact on the United States. My first conjunctions is as followed; --Social Networking is potentially going to harm to persons using them. One example of this is Megan Meier, who took her life after an old friends mom posed as a boy on myspace and began harassing her. When a social networking site does nothing to protect users of it's site, we see it as unfit. Just as we would see a mother unfit to raise a child if she didn't protect it from danger. ** I can't wait for someone's reply**",-0.4466542626979497,True,-1.7026747680022911,0.19287823661398,-0.2722873897000357,137,False,-0.6584842457819424
9,1,26256,"Arguments: Social networking sites are places where people 'share' or upload details of their personal life to the world wide web , in order to connect better with their friends or personal contacts. Under such circumstances social networking sites become ware houses for large amounts of pervading information into the life of its members which includes photographs, email and other contact details. This information is usually uploaded by members solely for the Eyes of their own contacts. Social Networking sites may find it difficult to maintain huge establishments merely through online applications and add generated revenue. They hence often find themselves compelled to cash in at other places. Multi-national co-operations and sometimes people with malafide intent are willing to pay money in exchange for personal contact details including personal preferences of ordinary people, these details are often used against the best interest of uncanny victims usually for marketing purposes, but sometimes for the more vicious credit card and other monetary frauds. The sale of contact details of millions of such social network users generate enormous income for companies, and grievous injustice and harassment of users. For the above stated purposes , I propose that it will be in the best interest of the users of such networking sites,if governments make it a punishable offense for companies to share private details of individual users for commercial gain.",1.1172508830020322,True,1.1056753605453788,0.6973810317155048,0.9811671327110134,226,True,1.0670615701584916
9,3,33185,"Hello and welcome back to the debate; Social Networking Sites are Harmful. EleaDEVILnor has tried but unsuccessfully to convince you other wise. Thank you. I will start with some facts I found whilst strolling the library. 200 University of Maryland students gave up online media as part of a new study in 2011. When asked how they felt during the brief disconnection, students' descriptions of frantic cravings for the technology, anxiety and jitters mirrored those typical of people going through withdrawal from drugs or alcohol. If people have become so addicted to social media, as the Maryland study suggests, it makes you wonder: Is social networking good or bad for us? Bad I say! We have always known that computer networks would destroy the world. We just thought they'd get super-intelligent first. Instead, we got social networks, which act as a stupidity X-ray. You suddenly see through the intelligent people your friends pretend to be to the LOL-ing Farmville players underneath. Some smart people decided to study these networks, and found that they're a big threat to society. At least the rise of those machines forced us to band together and do things. Debate closed. Thank you. EllieBub :) I enjoyed this debate EleaDEVILnor, you are a good component! EllieBub",0.4916888247220394,True,0.007996483581637777,0.9789361704705176,0.5132961363952515,210,True,0.5781675295398219
9,5,33185,"I would like to point out that my opponent has said that social networking sites allow people at 10+, that is a lie sites have restricted people to be at least 13 to be allowed onto these sites and that is because 10 year olds wouldn't know what to do if strangers tried to be friends with them or if they became cyber-stalked and that is because they wouldn't be responsible or mature enough to know what to do in that situation. You also said that people do get harmed form cyber bullying so your saying that everyone that gets bullied on the Internet goes how do I put it crazy? you are just putting it out there that you wouldn't be ashamed to say that someone has gone crazy to many people. harmful shouldn't really be the word used to define social networking sites but then again no word would really suit. When you are on social networking sites you can do many things that are good like talk to friends and family without a problem, or share photos from another country. facebook or titer can be used to say in touch with people all around the world for free or you could just call them for say $1 per minute if they're on the other side of the world, then again it would be nice hearing their voice but they'll hear yours when you get the phone bill, but meh that doesn't matter you could just go on facebook and talk to them. That would be so much easier, guess what else it is.... easy to use for all those technology challenged people simple like a wave of a wand or a swish of the wrist.",0.4916888247220394,True,0.5579465637043279,0.03100513432195705,0.7695521167151195,288,False,0.520089871897919
9,5,9551,"This is following PF rules - Increases physical harm So many teenagers and adults have lost their lives as a result of social networking web sites. Because of a website, mothers have had to bury their children. It does not benefit our society. -Increases emotional harm People say a lot of irresponsible things while online. It results in unneeded and unwanted feelings that get hurt. Most of the users of social networking websites are teenagers. At that age, they are still kids, therefore, unable to determine who their true friends are. As a result, they are linked to the wrong people. So, reconsidering who their friends are would not actually help them. Because the resolution states ""That, on balance"" that means that the bad has to outweigh the good, or vice versa in order to win the debate. That being said, staying in contact with friends, and so many people dying cannot compare to each other. Thus, I stand Resolved: That, on balance, social networking Web Sites have a negative impact on the United States.",-0.13387323355795333,True,-0.21772111884312387,-0.28774062539692336,0.1419295894876489,175,False,-0.14841492681935897
9,2,7703,"Social networking has a POSITIVE impact in the United States. Without it, -our economy would not be where it is today -communication opportunities would be smaller -socially we would be closed to trying new things Going on to refute my opponent.. - although social networking sites are just a tool, without them.. businesses would not be able to assemble as they wish advertisements would not be able to appeal to consumers the general public would be unable to communicate as efficiently - because social networking sites promote people who have brains and can think independently, it can still have a direct effect Although the person has the impact, they would be unable to achieve what they planned to if the tool was not present As a result, PRO should recieve the winning vote",0.8044698538620362,True,0.1554689745636286,0.32575097167444106,0.9356441283574216,133,True,0.5434960854081533
9,2,3382,"There are age restrictions on most social networking sites. The problem is when asked their year of birth, they lie. It is very easy to bypass the system. When you come up with a better one, sell it to all the social networking sites and you'll be rich. On many of these sites like Instagram, you can report what people put our say. It's nothing to do with the sites. It's the people who got to take it into there own hands. What can a pedophile do through conversation? Message rape? I don't think so. And it's the 13 year olds that are probably the easiest to convince to meet in an alley or parking lot because they are more sexually interested. I'm in class right now so I have to end it here. I'm 14 but my profile shows 23. It's that easy to change your age.",0.4916888247220394,True,-0.3689605539698811,-0.3449447465753652,0.7513032301575001,148,False,0.020181009032324983
9,18,33075,"I hate to break it to you, but in the age we're living in every social networking site on the entire Internet could be shut down and your personal information would be no less safe than it is now. Public records have existed much, much longer than the Internet itself, let alone social networking sites and those determined to access them for their own purposes will find a way to do so no matter what. Furtheremore, social networking sites are a great way for family and friends who live too far from each other to visit to be able to communicate.",-0.7594352918379461,True,-0.8360447956547097,0.2069275440891061,-0.4882360583757253,101,False,-0.4303911853484188
